"IntZone","IntZoneName","CPP","Attainment","employment_rate","income_rate","access_deprived_rate"
"S02002373","Larkhall Central, Raploch, Millheugh and Burnhead","South Lanarkshire",5.4,8.6,13,0
"S02002374","Hareleeshill","South Lanarkshire",5.3,14.2,20,0
"S02002375","Strutherhill","South Lanarkshire",4.8,17.7,27,0
"S02002376","Stonehouse","South Lanarkshire",5.5,9,12,0
"S02002377","Strathaven South","South Lanarkshire",6,7,7,0
"S02002378","Strathaven North","South Lanarkshire",6,5.7,6,0
"S02002379","Chapelton, Glengavel and Sandford","South Lanarkshire",5.8,3.4,4,100
"S02002380","Glassford, Quarter and Allanton","South Lanarkshire",6,5.5,6,49.6
"S02002381","Eddlewood","South Lanarkshire",5.6,7.2,9,0
"S02002382","Low Waters","South Lanarkshire",5.5,16.6,22,0
"S02002383","Silvertonhill","South Lanarkshire",5.9,6.6,8,0
"S02002384","Hamilton Centre and Low Parks","South Lanarkshire",6,8.7,12,0
"S02002385","Laighstonehall","South Lanarkshire",5.4,15.3,18,0
"S02002386","Fairhill","South Lanarkshire",4.9,17.2,29,0
"S02002387","Woodhead and Meikle Earnock","South Lanarkshire",5.3,12.3,17,0
"S02002388","Little Earnock","South Lanarkshire",5.8,4.9,7,64.1
"S02002389","Earnock","South Lanarkshire",5.9,3.1,4,0
"S02002390","Hillhouse","South Lanarkshire",4.9,17.2,25,0
"S02002391","High Blantyre","South Lanarkshire",4.9,15.2,21,0
"S02002392","Blantyre South and Wheatlands","South Lanarkshire",5.1,16.1,21,0
"S02002393","Low Blantyre and Bardykes","South Lanarkshire",5.6,8.2,10,34.3
"S02002394","Blantytre North and Coatshill","South Lanarkshire",5.3,12.6,18,0
"S02002395","Burnbank North","South Lanarkshire",5.2,12.9,19,0
"S02002396","Burnbank Central and Udston","South Lanarkshire",4.9,19.7,26,0
"S02002397","Burnbank South and Chantinghall","South Lanarkshire",5.7,9.9,13,0
"S02002398","Whitehill","South Lanarkshire",4.8,14.6,23,0
"S02002399","Bothwell South","South Lanarkshire",5.9,3.3,4,16.4
"S02002400","Bothwell North","South Lanarkshire",5.4,8.7,11,19.5
"S02002401","Uddingston and Gardenside","South Lanarkshire",5.8,6.4,7,0
"S02002402","Halfway, Hallside and Drumsagard","South Lanarkshire",5.8,5.9,8,36.3
"S02002403","Westburn and Newton","South Lanarkshire",5.3,10.8,16,0
"S02002404","Vicarland and Cairns","South Lanarkshire",5.2,15.9,21,0
"S02002405","Whitlawburn and Greenlees","South Lanarkshire",5.7,11.7,15,0
"S02002406","Cambuslang Central","South Lanarkshire",5.6,8.1,12,0
"S02002407","Burgh, Eastfield and Silverbank","South Lanarkshire",5.7,7.2,9,0
"S02002408","Farme Cross and Gallowflat North","South Lanarkshire",5.2,15.9,20,0
"S02002409","Shawfield and Clincarthill","South Lanarkshire",5.3,17.8,21,0
"S02002410","Burnhill and Bankhead North","South Lanarkshire",5,14.8,23,0
"S02002411","Bankhead South","South Lanarkshire",5.6,8.2,11,0
"S02002412","Spittal","South Lanarkshire",5.4,16.1,23,0
"S02002413","High Crosshill","South Lanarkshire",6.1,3.8,4,0
"S02002414","Burnside and Springhall","South Lanarkshire",5.6,12.4,16,0
"S02002415","Fernhill and Cathkin","South Lanarkshire",5.3,15.3,21,0
"S02002416","Nerston and EK Landward Area","South Lanarkshire",5.8,7.1,9,44.7
"S02002417","Calderwood East","South Lanarkshire",5.6,10.2,13,0
"S02002418","Calderwood Central","South Lanarkshire",5.5,10.8,15,0
"S02002419","Calderwood West and Nerston","South Lanarkshire",5.6,7.6,11,0
"S02002420","St Leonards North","South Lanarkshire",5.9,6.9,7,0
"S02002421","St Leonards South","South Lanarkshire",5.8,6.3,7,0
"S02002422","East Mains","South Lanarkshire",5.7,11.1,12,0
"S02002423","West Mains","South Lanarkshire",5.8,8.4,11,0
"S02002424","Stewartfield East","South Lanarkshire",6.3,2.7,2,100
"S02002425","Stewartfield West","South Lanarkshire",6,4.3,5,50.2
"S02002426","Thorntonhall, Jackton and Gardenhall","South Lanarkshire",6.2,1.7,2,49.3
"S02002427","Hairmyres and Westwood West","South Lanarkshire",5.9,6.3,8,0
"S02002428","Mossneuk and Newlandsmuir","South Lanarkshire",5.8,5.1,7,0
"S02002429","Crosshouse and Lindsayfield","South Lanarkshire",5.6,6.6,9,0
"S02002430","Whitehills West","South Lanarkshire",5.1,12.2,17,0
"S02002431","Greenhills","South Lanarkshire",5.2,11.8,16,0
"S02002432","Westwood South","South Lanarkshire",5.4,7,10,0
"S02002433","Westwood East","South Lanarkshire",5.6,9.2,12,0
"S02002434","The Murray","South Lanarkshire",5.5,11,15,0
"S02002435","Birniehill, Kelvin and Whitehills East","South Lanarkshire",5.5,9.7,12,11.6
"S02002436","Blane Valley","Stirling",6,3.7,4,55.9
"S02002437","Balfron and Drymen","Stirling",6,4.4,5,14.7
"S02002438","Kippen and Fintry","Stirling",6.1,4.3,5,73.3
"S02002439","Cambusbarron","Stirling",5.8,4.9,5,25
"S02002440","Plean and Rural SE","Stirling",5.2,10.8,14,35.8
"S02002441","Cowie","Stirling",5.2,11.4,15,0
"S02002442","Fallin","Stirling",5.1,11.3,15,0
"S02002443","Bannockburn","Stirling",5.8,6.5,9,0
"S02002444","Hillpark","Stirling",5.3,9.9,13,0
"S02002445","Broomridge","Stirling",5.5,11.1,12,0
"S02002446","Borestone","Stirling",5.5,12.3,16,0
"S02002447","King's Park and Torbrex","Stirling",6.2,3.3,4,0
"S02002448","Braehead","Stirling",5.5,12.9,14,0
"S02002449","City Centre","Stirling",5.4,6.9,9,0
"S02002450","Raploch","Stirling",4.9,20.9,30,0
"S02002451","Cornton","Stirling",5.3,9.3,14,0
"S02002452","Causewayhead","Stirling",6,2.9,3,0
"S02002453","Bridge of Allan and University","Stirling",5.9,2.1,3,0
"S02002454","Forth","Stirling",6,4.7,6,18.8
"S02002455","Dunblane East","Stirling",6.3,2.5,3,29.8
"S02002456","Dunblane West","Stirling",6,4.9,6,0
"S02002457","Carse of Stirling","Stirling",6,5.1,6,68.9
"S02002458","Callander and Trossachs","Stirling",6,5.9,8,23.3
"S02002459","Highland","Stirling",5.8,5.5,7,81.4
"S02002460","Whitecrook","West Dunbartonshire",5.3,16.1,23,0
"S02002461","Singer and Clydebank South","West Dunbartonshire",5.1,18.2,25,0
"S02002462","Drumry","West Dunbartonshire",5.2,20,27,0
"S02002463","Clydebank","West Dunbartonshire",5.3,14.2,20,0
"S02002464","Clydebank North","West Dunbartonshire",5.6,7.7,11,0
"S02002465","Clydebank east","West Dunbartonshire",5.3,15.3,23,100
"S02002466","Duntocher","West Dunbartonshire",5.8,8.3,10,77
"S02002467","Dalmuir","West Dunbartonshire",5.1,20,24,0
"S02002468","Kilpatrick","West Dunbartonshire",5.9,6.4,8,12.4
"S02002469","Bowling","West Dunbartonshire",5.7,7.6,8,39.1
"S02002470","Dumbarton east","West Dunbartonshire",5.5,12.2,16,0
"S02002471","Dumbarton","West Dunbartonshire",5.8,7.2,9,0
"S02002472","Dalreoch","West Dunbartonshire",5.5,16.8,23,25.6
"S02002473","Leven","West Dunbartonshire",5.8,12.1,15,10.6
"S02002474","Bonhill","West Dunbartonshire",5.2,13.2,20,7.2
"S02002475","Alexandria","West Dunbartonshire",5.4,15.9,21,0
"S02002476","Balloch","West Dunbartonshire",5.6,12,15,0
"S02002477","Lomond","West Dunbartonshire",5.3,13.1,19,31.1
"S02002478","Fauldhouse","West Lothian",5.4,14,16,0
"S02002479","Breich Valley","West Lothian",5.4,9.3,12,18.2
"S02002480","West Calder and Polbeth","West Lothian",5.3,11,14,0
"S02002481","Bellsquarry, Adambrae and Kirkton","West Lothian",5.9,5.2,6,0
"S02002482","Bankton and Murieston","West Lothian",6.1,2.3,2,41.5
"S02002483","Dedridge East","West Lothian",5.2,12.2,16,0
"S02002484","Mid Calder and Kirknewton","West Lothian",5.9,3.4,4,29
"S02002485","East Calder","West Lothian",5.7,5.7,7,12
"S02002486","Pumpherston and Uphall Station","West Lothian",5.5,9.1,12,61.2
"S02002487","Craigshill","West Lothian",5,14.7,21,0
"S02002488","Howden","West Lothian",5.5,10.6,15,0
"S02002489","Livingston Village and Eliburn South","West Lothian",5.8,4.9,6,0
"S02002490","Ladywell","West Lothian",5.5,15.7,22,0
"S02002491","Knightsridge","West Lothian",5.3,10.1,14,0
"S02002492","Knightsridge and Deans North","West Lothian",5.9,3.5,4,0
"S02002493","Deans","West Lothian",5.1,14.3,19,0
"S02002494","Carmondean and Eliburn North","West Lothian",5.5,7.9,11,0
"S02002495","Seafield","West Lothian",5.7,9.9,12,0
"S02002496","Blackburn","West Lothian",5,16.2,21,0
"S02002497","Blaeberry Hill and East Whitburn","West Lothian",5.6,10.2,14,21.5
"S02002498","Whitburn Central","West Lothian",5.2,17.5,23,0
"S02002499","Whitburn, Croftmalloch and Greenrigg","West Lothian",5.2,8.5,10,0
"S02002500","Armadale","West Lothian",5.5,11.2,13,0
"S02002501","Armadale South","West Lothian",5.3,9.9,13,0
"S02002502","Bathgate, Wester Inch and Inchcross","West Lothian",5.6,4.4,6,0
"S02002503","Bathgate and Boghall","West Lothian",5.3,12,17,0
"S02002504","Bathgate East","West Lothian",5.4,11.8,14,0
"S02002505","Bathgate West","West Lothian",5.7,8.8,11,8.1
"S02002506","Blackridge, Westfield and Torphichen","West Lothian",5.5,8,11,43.1
"S02002507","Linlithgow South","West Lothian",6.1,4.1,5,9.5
"S02002508","Linlithgow Bridge","West Lothian",6,6,6,0
"S02002509","Linlithgow North","West Lothian",6.3,2.4,2,0
"S02002510","Winchburgh, Bridgend and Philpstoun","West Lothian",5.4,7.5,10,34.3
"S02002511","Broxburn Kirkhill","West Lothian",5.7,9.3,12,0
"S02002512","Uphall, Dechmont and Ecclesmachan","West Lothian",5.4,7.9,11,17.1
"S02002513","Broxburn South","West Lothian",5.7,4.4,5,0
"S02002514","Broxburn East","West Lothian",5.5,9.2,10,0
